gamma,num_trajectories,finish_reward,fall_reward,step_reward,epsilon,avg_elapsed_time,std_training_time_per_sample,avg_steps,eval_std_steps,finish_percent
0.9,1000,100,-100,-10,0.005,194.1143184966677,25.862430191970994,66.62222222222222,26.350027525930294,0.9777777777777777
0.99,1000,100,-1000,-10,1,6.066321784333316,1.0147628004283826,72.11111111111111,27.379815941449536,0.9777777777777777
0.99,10000,0,-10,-1,0.1,11.147477228000449,1.153538053653087,64.32222222222224,21.53437963287634,1.0
0.99,1000,100,-1000,-1,0.01,59.55062693733271,5.744179554087252,65.3888888888889,26.34459440418447,0.9777777777777777
0.9,5000,100,-10,-10,1,3.3666245283335834,0.15450178404348622,102.35555555555557,40.15700052740524,0.6555555555555556
0.9,1000,10,-100,0,0.005,4.175728210666421,5.8017574546339485,127.97777777777777,36.13677037090484,0.3111111111111111
0.9,5000,10,-100,0,0.005,0.12634382499891217,0.0016909490434559957,150.0,0.0,0.0
0.99,1000,0,-10,-1,0.005,56.54871096733526,3.484385491591882,67.22222222222221,22.985878649378417,1.0
0.99,1000,10,-1000,-1,0.005,62.10456480566548,5.684517888918429,69.77777777777777,27.100954381627627,0.9888888888888889
0.99,5000,100,-10,-10,0.005,535.7349755153336,42.74444111167433,68.12222222222222,29.742535114911245,0.9666666666666667
0.99,1000,10,-100,0,0.01,2.1155331103327626,2.88933593893442,122.02222222222223,41.52535444434394,0.3333333333333333
0.9,5000,0,-10,0,1,0.1263056179996056,0.0018724269895640812,150.0,0.0,0.0
0.99,5000,10,-1000,-1,0.005,67.08998182199987,8.234568098409433,66.86666666666667,24.9916430476714,1.0
0.95,5000,10,-100,0,1,0.6943893493335054,0.4056624777990004,118.62222222222222,38.908033382945426,0.4777777777777778
0.95,10000,100,-10,0,0.1,6.944318743000622,4.803259048621416,91.3,45.48417307152017,0.6555555555555556
0.9,10000,10,-1000,0,0.01,4.3880936856670205,5.945534600606981,119.56666666666666,44.83997472494084,0.3333333333333333
